ProducerRecord(topic=test, partition=null, key=null, value=/subject/77613!@#100%!@#o_o ....!@#1话 / 1990-09-07 / 松本佳久!@#http://lain.bgm.tv/pic/cover/s/d4/76/77613_AOF6g.jpg!@#http://bangumi.tv/subject/77613
num_of_pages: 1
ProducerRecord(topic=test, partition=null, key=null, value=/subject/192842!@#100%帕斯卡老师!@#100%パスカル 先生!@#6话 / 2016年10月15日 / 永井ゆうじ!@#http://lain.bgm.tv/pic/cover/s/37/6e/192842_7wwg4.jpg!@#http://bangumi.tv/subject/192842
ProducerRecord(topic=test, partition=null, key=null, value=/subject/206011!@#100%帕斯卡老师!@#100%パスカル先生!@#36话 / 2017年4月15日 / 永井ゆうじ!@#http://lain.bgm.tv/pic/cover/s/c7/95/206011_A3pb7.jpg!@#http://bangumi.tv/subject/206011
ProducerRecord(topic=test, partition=null, key=null, value=/subject/136058!@#1000酱！!@#1000ちゃん!@#8话 / 2014年5月1日!@#http://lain.bgm.tv/pic/cover/s/1f/36/136058_bkfNY.jpg!@#http://bangumi.tv/subject/136058
ProducerRecord(topic=test, partition=null, key=null, value=/subject/196702!@#1000酱！ 厚木LOVE編!@#1000ちゃん 厚木LOVE編!@#10话 / 2016年8月26日!@#http://lain.bgm.tv/pic/cover/s/aa/7f/196702_V2bCw.jpg!@#http://bangumi.tv/subject/196702
ProducerRecord(topic=test, partition=null, key=null, value=/subject/136048!@#1000酱！SSD!@#1000ちゃんねる!@#6话 / 2015年6月2日 / OIZUMI、オーイズミ!@#http://lain.bgm.tv/pic/cover/s/de/65/136048_REBJJ.jpg!@#http://bangumi.tv/subject/136048
ProducerRecord(topic=test, partition=null, key=null, value=/subject/80823!@#千年女王!@#1000年女王!@#1982年3月13日!@#http://lain.bgm.tv/pic/cover/s/62/79/80823_OOKoG.jpg!@#http://bangumi.tv/subject/80823
ProducerRecord(topic=test, partition=null, key=null, value=/subject/67745!@#一千零一夜!@#1001 Nights!@#1998年3月!@#http://lain.bgm.tv/pic/cover/s/ad/33/67745_1nzly.jpg!@#http://bangumi.tv/subject/67745
ProducerRecord(topic=test, partition=null, key=null, value=/subject/220064!@#100ばんめのサル!@#o_o ....!@#1986-05-25!@#http://lain.bgm.tv/pic/cover/s/b1/c7/220064_VZ76W.jpg!@#http://bangumi.tv/subject/220064
ProducerRecord(topic=test, partition=null, key=null, value=/subject/113231!@#100万円あったら、どうする？!@#o_o ....!@#1话 / 1999!@#http://lain.bgm.tv/pic/cover/s/08/88/113231_WF8dB.jpg!@#http://bangumi.tv/subject/113231
ProducerRecord(topic=test, partition=null, key=null, value=/subject/112591!@#100万年地球之旅 班达之书!@#100万年地球の旅 バンダーブック!@#1话 / 1978年8月27日!@#http://lain.bgm.tv/pic/cover/s/6e/7c/112591_cznAv.jpg!@#http://bangumi.tv/subject/112591
ProducerRecord(topic=test, partition=null, key=null, value=/subject/112889!@#101忠狗续集：伦敦大冒险!@#101 Dalmatians II: Patch's London Adventure!@#2003-01-21(美国)!@#http://lain.bgm.tv/pic/cover/s/3f/0e/112889_Of13C.jpg!@#http://bangumi.tv/subject/112889
ProducerRecord(topic=test, partition=null, key=null, value=/subject/36118!@#101忠狗!@#101 Dalmatians: The Series!@#65话 / 1997-09-01!@#http://lain.bgm.tv/pic/cover/s/c4/fe/36118_YYRm7.jpg!@#http://bangumi.tv/subject/36118
ProducerRecord(topic=test, partition=null, key=null, value=/subject/142596!@#王子与108煞!@#108 Rois-Démons!@#1话 / 2015-01-21(法国) / 2015-08-21(中国大陆) / Pascal Morelli!@#http://lain.bgm.tv/pic/cover/s/d5/cb/142596_vsrB4.jpg!@#http://bangumi.tv/subject/142596
ProducerRecord(topic=test, partition=null, key=null, value=/subject/23303!@#游戏王剧场版 超融合！超越时空的羁绊!@#10thアニバーサリー 劇場版 遊☆戯☆王 ?超融合!時空を越えた絆?!@#2010-01-23!@#http://lain.bgm.tv/pic/cover/s/41/f3/23303_ap05g.jpg!@#http://bangumi.tv/subject/23303
ProducerRecord(topic=test, partition=null, key=null, value=/subject/235441!@#11:08!@#o_o ....!@#2012年11月7日!@#http://lain.bgm.tv/pic/cover/s/6f/cd/235441_pnSPs.jpg!@#http://bangumi.tv/subject/235441
ProducerRecord(topic=test, partition=null, key=null, value=/subject/2566!@#11eyes!@#o_o ....!@#12话 / 2009年10月6日 / 下田正美 / Lass / 原将治!@#http://lain.bgm.tv/pic/cover/s/42/fe/2566_M2Bsq.jpg!@#http://bangumi.tv/subject/2566
ProducerRecord(topic=test, partition=null, key=null, value=/subject/7062!@#11eyes OVA!@#11eyes volume7 OVA Special!@#1话 / 2010年6月25日 / 下田正美 / Lass / 原 将治!@#http://lain.bgm.tv/pic/cover/s/6c/f7/7062_fO7hv.jpg!@#http://bangumi.tv/subject/7062
ProducerRecord(topic=test, partition=null, key=null, value=/subject/3635!@#第十一人!@#11人いる!!@#1986年11月1日 / 出崎哲、冨永恒雄 / 萩尾望都!@#http://lain.bgm.tv/pic/cover/s/a0/98/3635_dQQqb.jpg!@#http://bangumi.tv/subject/3635
ProducerRecord(topic=test, partition=null, key=null, value=/subject/101268!@#12岁。!@#12歳。!@#8话 / 2014年4月3日 / 大宙征基（奥脇雅晴） / まいた菜穂 / 萩原しょう子、中野彰子!@#http://lain.bgm.tv/pic/cover/s/fa/b4/101268_eBL7J.jpg!@#http://bangumi.tv/subject/101268
ProducerRecord(topic=test, partition=null, key=null, value=/subject/139786!@#12岁 第二季!@#12歳。 第2期!@#4话 / 2015年7月3日!@#http://lain.bgm.tv/pic/cover/s/09/95/139786_YYQHh.jpg!@#http://bangumi.tv/subject/139786
ProducerRecord(topic=test, partition=null, key=null, value=/subject/167235!@#12岁。小小的胸口心跳加速!@#12歳。～ちっちゃなムネのトキメキ～!@#12话 / 2016年4月4日 / 大宙征基（奥脇雅晴） / まいた菜穂「12歳。」（ちゃお / 小学館）!@#http://lain.bgm.tv/pic/cover/s/a0/b6/167235_ax4ka.jpg!@#http://bangumi.tv/subject/167235
ProducerRecord(topic=test, partition=null, key=null, value=/subject/184745!@#12岁。小小的胸口心跳加速 第二季!@#12歳。～ちっちゃなムネのトキメキ～ セカンドシーズン!@#12话 / 2016年10月3日 / まいた菜穂「12歳。」（ちゃお / 小学館）!@#http://lain.bgm.tv/pic/cover/s/73/4b/184745_Dg3g9.jpg!@#http://bangumi.tv/subject/184745
ProducerRecord(topic=test, partition=null, key=null, value=/subject/47247!@#15美少女漂流记!@#15美少女漂流記!@#3话 / 2009年8月3日!@#http://bangumi.tv/img/no_icon_subject.png!@#http://bangumi.tv/subject/47247
